Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-14 21:11:53,disease_Blueberry,300,20,gini,1.0,1.0,1051,524
2026-03-14 21:11:55,disease_Blueberry,300,30,gini,1.0,1.0,1051,524
2026-03-14 21:11:57,disease_Blueberry,300,full,gini,1.0,1.0,1051,524
2026-03-14 21:11:57,disease_Cherry_including_sour,50,10,gini,0.9842657342657343,0.9842639474608539,1334,524
2026-03-14 21:11:58,disease_Cherry_including_sour,50,20,gini,0.9895104895104895,0.9895080421512545,1334,524
2026-03-14 21:11:58,disease_Cherry_including_sour,50,30,gini,0.9895104895104895,0.9895080421512545,1334,524
2026-03-14 21:11:59,disease_Cherry_including_sour,50,full,gini,0.9895104895104895,0.9895080421512545,1334,524
2026-03-14 21:11:59,disease_Cherry_including_sour,100,10,gini,0.9912587412587412,0.9912556008121055,1334,524
2026-03-14 21:12:00,disease_Cherry_including_sour,100,20,gini,0.9895104895104895,0.9895053347065731,1334,524
2026-03-14 21:12:01,disease_Cherry_including_sour,100,30,gini,0.9895104895104895,0.9895053347065731,1334,524
2026-03-14 21:12:01,disease_Cherry_including_sour,100,full,gini,0.9895104895104895,0.9895053347065731,1334,524
2026-03-14 21:12:03,disease_Cherry_including_sour,200,10,gini,0.9947552447552448,0.9947546491536178,1334,524
2026-03-14 21:12:04,disease_Cherry_including_sour,200,20,gini,0.9947552447552448,0.9947546491536178,1334,524
2026-03-14 21:12:05,disease_Cherry_including_sour,200,30,gini,0.9947552447552448,0.9947546491536178,1334,524
2026-03-14 21:12:07,disease_Cherry_including_sour,200,full,gini,0.9947552447552448,0.9947546491536178,1334,524
2026-03-14 21:12:08,disease_Cherry_including_sour,300,10,gini,0.9912587412587412,0.9912556008121055,1334,524
2026-03-14 21:12:10,disease_Cherry_including_sour,300,20,gini,0.993006993006993,0.9930053614341696,1334,524
2026-03-14 21:12:12,disease_Cherry_including_sour,300,30,gini,0.993006993006993,0.9930053614341696,1334,524
2026-03-14 21:12:14,disease_Cherry_including_sour,300,full,gini,0.993006993006993,0.9930053614341696,1334,524
2026-03-14 21:12:15,disease_Corn_maize,50,10,gini,0.8399653979238755,0.8302422213442773,2696,524
2026-03-14 21:12:16,disease_Corn_maize,50,20,gini,0.8391003460207612,0.8226467876478293,2696,524
2026-03-14 21:12:16,disease_Corn_maize,50,30,gini,0.8356401384083045,0.8203904021090541,2696,524
2026-03-14 21:12:17,disease_Corn_maize,50,full,gini,0.8356401384083045,0.8203904021090541,2696,524
2026-03-14 21:12:18,disease_Corn_maize,100,10,gini,0.8408304498269896,0.8305076911341281,2696,524
2026-03-14 21:12:19,disease_Corn_maize,100,20,gini,0.833044982698962,0.8116812158407906,2696,524
2026-03-14 21:12:19,disease_Corn_maize,100,30,gini,0.8373702422145328,0.8186977199298414,2696,524
2026-03-14 21:12:21,disease_Corn_maize,100,full,gini,0.8373702422145328,0.8186977199298414,2696,524
2026-03-14 21:12:22,disease_Corn_maize,200,10,gini,0.8408304498269896,0.8308565512982871,2696,524
2026-03-14 21:12:24,disease_Corn_maize,200,20,gini,0.8408304498269896,0.8172370300664987,2696,524
2026-03-14 21:12:26,disease_Corn_maize,200,30,gini,0.8399653979238755,0.8161489618775177,2696,524
2026-03-14 21:12:27,disease_Corn_maize,200,full,gini,0.8399653979238755,0.8161489618775177,2696,524
2026-03-14 21:12:29,disease_Corn_maize,300,10,gini,0.8416955017301038,0.831306114404884,2696,524
2026-03-14 21:12:32,disease_Corn_maize,300,20,gini,0.8416955017301038,0.8191121311479255,2696,524
2026-03-14 21:12:34,disease_Corn_maize,300,30,gini,0.8408304498269896,0.8170468802590389,2696,524
2026-03-14 21:12:36,disease_Corn_maize,300,full,gini,0.8408304498269896,0.8170468802590389,2696,524
2026-03-14 21:12:37,disease_Grape,50,10,gini,0.7719442165709598,0.7638374508354228,2843,524
2026-03-14 21:12:37,disease_Grape,50,20,gini,0.7760459392945037,0.7680114639354124,2843,524
2026-03-14 21:12:38,disease_Grape,50,30,gini,0.7744052502050861,0.7671228911951661,2843,524
2026-03-14 21:12:39,disease_Grape,50,full,gini,0.7744052502050861,0.7671228911951661,2843,524
2026-03-14 21:12:40,disease_Grape,100,10,gini,0.8031173092698933,0.7963281539692838,2843,524
2026-03-14 21:12:41,disease_Grape,100,20,gini,0.8031173092698933,0.7948213296964849,2843,524
2026-03-14 21:12:41,disease_Grape,100,30,gini,0.8022969647251845,0.7934130868301881,2843,524
2026-03-14 21:12:42,disease_Grape,100,full,gini,0.8022969647251845,0.7934130868301881,2843,524
2026-03-14 21:12:44,disease_Grape,200,10,gini,0.8137817883511075,0.8071865050633953,2843,524
2026-03-14 21:12:45,disease_Grape,200,20,gini,0.8113207547169812,0.8026625152004694,2843,524
2026-03-14 21:12:47,disease_Grape,200,30,gini,0.8137817883511075,0.8056290960730164,2843,524
2026-03-14 21:12:49,disease_Grape,200,full,gini,0.8137817883511075,0.8056290960730164,2843,524
2026-03-14 21:12:51,disease_Grape,300,10,gini,0.8252666119770303,0.8183706692356081,2843,524
2026-03-14 21:12:53,disease_Grape,300,20,gini,0.8260869565217391,0.8177192006344247,2843,524
2026-03-14 21:12:55,disease_Grape,300,30,gini,0.8244462674323215,0.8151094154630764,2843,524
2026-03-14 21:12:58,disease_Grape,300,full,gini,0.8244462674323215,0.8151094154630764,2843,524
2026-03-14 21:12:59,disease_Orange,50,10,gini,1.0,1.0,3855,524
2026-03-14 21:12:59,disease_Orange,50,20,gini,1.0,1.0,3855,524
2026-03-14 21:12:59,disease_Orange,50,30,gini,1.0,1.0,3855,524
2026-03-14 21:13:00,disease_Orange,50,full,gini,1.0,1.0,3855,524
2026-03-14 21:13:00,disease_Orange,100,10,gini,1.0,1.0,3855,524
2026-03-14 21:13:01,disease_Orange,100,20,gini,1.0,1.0,3855,524
2026-03-14 21:13:02,disease_Orange,100,30,gini,1.0,1.0,3855,524
2026-03-14 21:13:02,disease_Orange,100,full,gini,1.0,1.0,3855,524
2026-03-14 21:13:03,disease_Orange,200,10,gini,1.0,1.0,3855,524
2026-03-14 21:13:04,disease_Orange,200,20,gini,1.0,1.0,3855,524
2026-03-14 21:13:06,disease_Orange,200,30,gini,1.0,1.0,3855,524
2026-03-14 21:13:07,disease_Orange,200,full,gini,1.0,1.0,3855,524
2026-03-14 21:13:08,disease_Orange,300,10,gini,1.0,1.0,3855,524
2026-03-14 21:13:10,disease_Orange,300,20,gini,1.0,1.0,3855,524
2026-03-14 21:13:11,disease_Orange,300,30,gini,1.0,1.0,3855,524
2026-03-14 21:13:13,disease_Orange,300,full,gini,1.0,1.0,3855,524
